numWins,teamNumber,nameShort,city,stateProv,country,homeCMP,year,region
2,5559,Gear Grinders,Camden,Michigan,USA,CMPTX,2022,Midwest
1,5560,Central Lake Trobotics,Central Lake,Michigan,USA,CMPTX,2022,Midwest
2,5561,Raider Robotics,Flushing,Michigan,USA,CMPTX,2022,Midwest
1,5562,CTRL+Shift+qq,Maple City,Michigan,USA,CMPTX,2022,Midwest
4,5563,Phalanx,Lynn,Massachusetts,USA,CMPTX,2022,Northeast
2,5567,Code Red Robotics ,Milan,Michigan,USA,CMPTX,2022,Midwest
1,5577,Kinematic Wolves,Detroit,Michigan,USA,CMPTX,2022,Midwest
1,5586,Bond Brigade,Kiel,Wisconsin,USA,CMPTX,2022,Midwest
1,5587,Titan Robotics,Alexandria,Virginia,USA,CMPTX,2022,South
1,5594,GI Joz,Toccoa,Georgia,USA,,2016,South
1,5603,Rise of the Warrior Bots,Auburn,Michigan,USA,CMPTX,2022,Midwest
1,5610,Turbulence,Saugatuck,Michigan,USA,CMPTX,2022,Midwest
2,5612,RoboRaptors,Burton,Michigan,USA,CMPTX,2022,Midwest
1,5613,ThunderDogs,Alamogordo,New Mexico,USA,CMPTX,2022,West
1,5623,Robotic Rams,Galesburg,Michigan,USA,CMPTX,2022,Midwest
3,5624,TIGER TECH Robotics,South Plainfield,New Jersey,USA,CMPTX,2022,Northeast
1,5633,Hyde Cyber Wolves,Bath,Maine,USA,CMPTX,2022,Northeast
1,5651,Maynard Jackson RoboJags,Atlanta,Georgia,USA,CMPTX,2022,South
1,5661,RoboCards,Whittemore,Michigan,USA,CMPTX,2022,Midwest
1,5667,The Digital Eagles,New Albany,Ohio,USA,CMPTX,2022,Midwest
1,5674,The Gearhounds,Eaton Rapids,Michigan,USA,CMPTX,2022,Midwest
5,5675,WiredCats,Mattawan,Michigan,USA,CMPTX,2022,Midwest
3,5679,Girls on Fire,Winston Salem,North Carolina,USA,CMPTX,2022,South
1,5682,Equus Engineering,Mesquite,Texas,USA,CMPTX,2022,South
1,5683,Hello World,Auburn,Washington,USA,CMPTX,2022,West
1,5684,Iron Mechs,Trenton,New Jersey,USA,CMPTX,2022,Northeast
1,5686,Wirecats,Simsbury,Connecticut,USA,CMPTX,2022,Northeast
12,5687,The Outliers,Portland,Maine,USA,CMPTX,2022,Northeast
2,5690,SubZero Robotics,Esko,Minnesota,USA,CMPTX,2022,Midwest
2,5692,ChiefBots,Cheboygan,Michigan,USA,,2016,Midwest
1,5700,SOTA Cyberdragons,San Francisco,California,USA,CMPTX,2022,West
4,5712,Hemlock's Gray Matter,Hemlock,Michigan,USA,CMPTX,2022,Midwest
3,5724,Spartan Robotics,Salem,Virginia,USA,CMPTX,2022,South
2,5726,RHUMBOTZ,San Antonio,Texas,USA,CMPTX,2022,South
1,5727,Omegabytes,Spindale,North Carolina,USA,CMPTX,2022,South
1,5735,Control Freaks,Wayland,Massachusetts,USA,CMPTX,2022,Northeast
1,5756,REC'in Crew,Detroit,Michigan,USA,CMPTX,2022,Midwest
1,5762,FranklinBots - TEAM HYDRA,Louisburg,North Carolina,USA,CMPTX,2022,South
1,5779,CB Tech,Moses Lake,Washington,USA,,2015,West
1,5784,Vulcans,Vassar,Michigan,USA,,2016,Midwest
2,5801,CTC Inspire,Independence,Missouri,USA,CMPTX,2022,Midwest
1,5802,Los STEMateros,Los Angeles,California,USA,CMPTX,2022,West
6,5803,Apex Robotics,Seattle,Washington,USA,CMPTX,2022,West
7,5804,TORCH,Henrico,Virginia,USA,CMPTX,2022,South
1,5805,SMbly Required,Rancho Santa Margarita,California,USA,CMPTX,2022,West
1,5806,Basement Lions,Bronx,New York,USA,CMPTX,2022,Northeast
2,5809,The Jesubots,Kansas City,Missouri,USA,CMPTX,2022,Midwest
1,5812,Drewbotics,Riverdale,Georgia,USA,,2016,South
2,5813,Morpheus,Concord,New Hampshire,USA,CMPTX,2022,Northeast
1,5817,Uni-Rex,Sanger,California,USA,CMPTX,2022,West
1,5818,Riviera Robotics,Santa Barbara,California,USA,CMPTX,2022,West
3,5827,Code Purple,Kirkland,Washington,USA,CMPTX,2022,West
2,5828,Westover Robotics,Albany,Georgia,USA,CMPTX,2022,South
2,5842,Royal Robotics,New Port Richey,Florida,USA,CMPTX,2022,South
1,5843,Flurb,East China,Michigan,USA,CMPTX,2022,Midwest
3,5846,SouthCoast Corsairs,North Dartmouth,Massachusetts,USA,CMPTX,2022,Northeast
